duration,temperature,population,individual,pi_abs,fv_fm
0,20,Kirkenes,K10,0.71,0.688
0,20,Kirkenes,K16,0.8673333,0.7113333
0,20,Kirkenes,K17,0.4116667,0.658
0,20,Kirkenes,K23,0.7266667,0.712
0,20,Kirkenes,K30,0.7263333,0.6773333
0,20,Kirkenes,K35,0.9536667,0.7176667
0,20,Svalbard,S2,0.847,0.6776667
0,20,Svalbard,S28,0.3943333,0.6403333
0,20,Svalbard,S3,0.95,0.7146667
0,20,Svalbard,S31,1.113,0.7276667
0,20,Svalbard,S36,0.9073333,0.7003333
0,20,Svalbard,S5,0.7823333,0.688
15,20,Kirkenes,K10,0.3313333,0.6536667
15,20,Kirkenes,K16,0.79,0.7143333
15,20,Kirkenes,K17,0.4523333,0.663
15,20,Kirkenes,K23,0.7333333,0.7
15,20,Kirkenes,K30,0.8226667,0.7096667
15,20,Kirkenes,K35,0.9013333,0.735
15,20,Svalbard,S2,0.913,0.693
15,20,Svalbard,S28,0.5056667,0.6723333
15,20,Svalbard,S3,0.5826667,0.672
15,20,Svalbard,S31,0.699,0.705
15,20,Svalbard,S36,0.737,0.70933330000000006
15,20,Svalbard,S5,0.627,0.6806667
60,20,Kirkenes,K10,0.6176667,0.6963333
60,20,Kirkenes,K16,0.3016667,0.6876667
60,20,Kirkenes,K17,0.224,0.6336667
60,20,Kirkenes,K23,0.3663333,0.694
60,20,Kirkenes,K30,0.496,0.691
60,20,Kirkenes,K35,0.4356667,0.6743333
60,20,Svalbard,S2,0.608,0.676
60,20,Svalbard,S28,0.412,0.684
60,20,Svalbard,S3,0.4043333,0.667
60,20,Svalbard,S31,0.9213333,0.7143333
60,20,Svalbard,S36,0.3433333,0.6783333
60,20,Svalbard,S5,0.491,0.68
24,20,Kirkenes,K10,0.5393333,0.6566667
24,20,Kirkenes,K16,1.0303333,0.7176667
24,20,Kirkenes,K17,0.594,0.6703333
24,20,Kirkenes,K23,0.9376667,0.7186667
24,20,Kirkenes,K30,0.7653333,0.6933333
24,20,Kirkenes,K35,0.8883333,0.7183333
24,20,Svalbard,S2,1.285,0.7016667
24,20,Svalbard,S28,0.8536667,0.6813333
24,20,Svalbard,S3,0.886,0.6723333
24,20,Svalbard,S31,1.014,0.683
24,20,Svalbard,S36,0.7603333,0.693
24,20,Svalbard,S5,0.857,0.6953333
0,24,Kirkenes,K10,0.9536667,0.716
0,24,Kirkenes,K16,1.2003333,0.7223333
0,24,Kirkenes,K17,1.1223333,0.719
0,24,Kirkenes,K23,0.787,0.7123333
0,24,Kirkenes,K30,0.7166667,0.6923333
0,24,Kirkenes,K35,0.9993333,0.7256667
0,24,Svalbard,S2,0.9336667,0.6886667
0,24,Svalbard,S28,0.8273333,0.6886667
0,24,Svalbard,S3,1.3123333,0.7143333
0,24,Svalbard,S31,0.972,0.7076667
0,24,Svalbard,S36,0.5606667,0.6613333
0,24,Svalbard,S5,1.1083333,0.7233333
15,24,Kirkenes,K10,0.758,0.7096667
15,24,Kirkenes,K16,0.7506667,0.691
15,24,Kirkenes,K17,0.7446667,0.6993333
15,24,Kirkenes,K23,0.4803333,0.6923333
15,24,Kirkenes,K30,0.5976667,0.698
15,24,Kirkenes,K35,0.6543333,0.708
15,24,Svalbard,S2,0.5816667,0.6796667
15,24,Svalbard,S28,0.7886667,0.7283333
15,24,Svalbard,S3,1.0296667,0.7066667
15,24,Svalbard,S31,0.987,0.722
15,24,Svalbard,S36,0.6023333,0.697
15,24,Svalbard,S5,0.564,0.656
60,24,Kirkenes,K10,0.3043333,0.6763333
60,24,Kirkenes,K16,0.4286667,0.6783333
60,24,Kirkenes,K17,0.4026667,0.7066667
60,24,Kirkenes,K23,0.3883333,0.689
60,24,Kirkenes,K30,0.3096667,0.6543333
60,24,Kirkenes,K35,0.3186667,0.6813333
60,24,Svalbard,S2,0.6553333,0.696
60,24,Svalbard,S28,0.688,0.6963333
60,24,Svalbard,S3,0.4073333,0.6366667
60,24,Svalbard,S31,0.498,0.702
60,24,Svalbard,S36,0.4943333,0.69
60,24,Svalbard,S5,0.4716667,0.675
24,24,Kirkenes,K10,0.9226667,0.7106667
24,24,Kirkenes,K16,0.77,0.695
24,24,Kirkenes,K17,0.9473333,0.714
24,24,Kirkenes,K23,0.9033333,0.72
24,24,Kirkenes,K30,0.8203333,0.703
24,24,Kirkenes,K35,0.733,0.691
24,24,Svalbard,S2,1.064,0.7143333
24,24,Svalbard,S28,0.8456667,0.679
24,24,Svalbard,S3,0.9476667,0.689
24,24,Svalbard,S31,1.1096667,0.7196667
24,24,Svalbard,S36,1.0553333,0.6933333
24,24,Svalbard,S5,1.008,0.708
0,28,Kirkenes,K10,0.79,0.699
0,28,Kirkenes,K16,0.61533333,0.6883333
0,28,Kirkenes,K17,0.693,0.677
0,28,Kirkenes,K23,1.08433333,0.7393333
0,28,Kirkenes,K30,0.943,0.699
0,28,Kirkenes,K35,0.65066667,0.6816667
0,28,Svalbard,S2,1.03766667,0.7166667
0,28,Svalbard,S28,0.93866667,0.6893333
0,28,Svalbard,S3,1.01633333,0.703
0,28,Svalbard,S31,0.94466667,0.6936667
0,28,Svalbard,S36,0.68533333,0.669
0,28,Svalbard,S5,0.82866667,0.699
15,28,Kirkenes,K10,0.46666667,0.678
15,28,Kirkenes,K16,0.578,0.7036667
15,28,Kirkenes,K17,0.29266667,0.6713333
15,28,Kirkenes,K23,0.466,0.6913333
15,28,Kirkenes,K30,0.49966667,0.6786667
15,28,Kirkenes,K35,0.56933333,0.7003333
15,28,Svalbard,S2,0.507,0.6833333
15,28,Svalbard,S28,0.342,0.692
15,28,Svalbard,S3,0.63266667,0.694
15,28,Svalbard,S31,0.51633333,0.6616667
15,28,Svalbard,S36,0.38466667,0.6593333
15,28,Svalbard,S5,0.41266667,0.683
60,28,Kirkenes,K10,0.279,0.6313333
60,28,Kirkenes,K16,0.23533333,0.675
60,28,Kirkenes,K17,0.30833333,0.6446667
60,28,Kirkenes,K23,0.329,0.673
60,28,Kirkenes,K30,0.49166667,0.662
60,28,Kirkenes,K35,0.38733333,0.6943333
60,28,Svalbard,S2,0.31933333,0.6276667
60,28,Svalbard,S28,0.46,0.6643333
60,28,Svalbard,S3,0.35833333,0.6683333
60,28,Svalbard,S31,0.438,0.6606667
60,28,Svalbard,S36,0.322,0.6686667
60,28,Svalbard,S5,0.45966667,0.6936667
24,28,Kirkenes,K10,0.64833333,0.6746667
24,28,Kirkenes,K16,0.89566667,0.695
24,28,Kirkenes,K17,0.322,0.5763333
24,28,Kirkenes,K23,1.02666667,0.7033333
24,28,Kirkenes,K30,0.78766667,0.6973333
24,28,Kirkenes,K35,1.126,0.735
24,28,Svalbard,S2,0.56966667,0.6383333
24,28,Svalbard,S28,0.664,0.676
24,28,Svalbard,S3,0.915,0.688
24,28,Svalbard,S31,1.019,0.71
24,28,Svalbard,S36,0.32233333,0.6413333
24,28,Svalbard,S5,0.95033333,0.703
